Area,Acceso.a.electricidad,Formulario,Analfabetismo.mujeres,Acceso.servicios.de.salud,Departamento,Municipio,Código_lugar,Calidad.de.alimentos,Cantidad.de.alimentos,Animales.traspatio,Alcoholismo,Inseguridad.alimentaria,Arrendamiento,Comida.chatarra,Compra.de.alimentos,Costos.de.producción,Gastos.en.salud,Tamaño.de.las.familias,Disponibilidad.de.agua,Enfermedades.infantiles,Espacio.familiar,Gastos.en.alimentos,Ingresos.agrícolas,Tasa.interés,Deudas,Interés,Venta.de.terrenos,Calidad.de.vida,Porcentaje.tierras.producción.comercial,Tierra.del.hogar,Tenencia.de.tierra,Rendimiento,Producción.comercial,Producción.autoconsumo,Programas.sociales,Asistencia.financiera,Ingresos.de.salario,Ingresos,Dependencia.económica.en.el.hombre,Demanda.empleos,Demanda.empleos.no.calificados,Demanda.empleos.calificados,Porcen.demanda.empleos.calificados,MUniDept,MuniDept,Tierra.a.producción.económica,Tierra.a.producción.autoconsumo,Educación,Lugares.para.excretos,Tiendas.y.comercios.mujeres,Auto.estima,Asistencia.escolar,Atraso.escolar,Educación.sexual,Espacamiento.de.los.embarazos,Lactancia,Optimismo.para.la.vida,Planificación.familiar,Repetición.escolar,Empleos,Empleos.calificados,Empleos.no.calificados,Trabajos.mujeres,Trabajo.infantil,Cuidados.niños,Desempleo,Marginación,Participación.social.mujeres,Cuidados.especiales,Salario.empleos.no.calificados,Salario.empleos.calificados,Precios.alimentos,Precios.agrícolas,Riqueza.familiar,Gastos.no.priorizados,Gastos,Inversiones.agrícolas,Costos.insumos,Fracción.tierras.a.hortalizas,Producción.milpa,Costumbre.de.consumo,Uso.de.orgánico
1,1,13118,1,0,1,5,0105,2.963427964,7371.64,0,0,1,0,0,62832.8079,NA,0,1,0,NA,7,481.5333333,0,0,0,0,NA,-1,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,NA,105,NA,NA,6,1,0,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,0,0,0,1.80101401,NA,4930,0,481.5333333,0,0,NA,0,0,0
1,1,13114,1,NA,1,5,0105,1.880064704,11628.72,0,0,2,0,0,37632.5912,NA,0,3,0,2,2.333333333,347,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,2500,2500,1,0,0,0,NA,NA,105,NA,NA,12.5,1,0,0,2,NA,1,18,3,1,1,NA,0,0,0,0,0,1,NA,0,NA,0,0,0,0.022507535,NA,6200,40,387,0,0,NA,0,0,0
1,1,14669,1,NA,1,5,0105,2.894121913,15990.56,0,0,1,0,0.006753985,108055.6734,NA,0,2,0,NA,3.5,850.5,0,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,6600,6600,1,0,0,0,NA,NA,105,NA,NA,12,1,0,0,2,NA,1,NA,NA,1,0,NA,0,0,0,0,NA,NA,NA,0,NA,0,0,0,1.075093136,NA,57000,200,1050.5,0,0,NA,0,0,0
1,1,13119,1,NA,1,5,0105,1.958287046,16145.98,0,0,1,0,0,83621.32,NA,0,2,0,NA,4.5,510.7,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,8000,8000,0.8125,14,0,14,100,NA,105,NA,NA,12,1,0,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,14,0.5,1,0,0,0,0.017660481,NA,35975,200,710.7,0,0,NA,0,0,0
1,1,16102,1,NA,1,5,0105,1.907355732,3920.75,0,400,2,0,0.077791239,12699,NA,0,3,0,NA,3.666666667,70,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,2100,2100,0,0,0,0,NA,NA,105,NA,NA,16,1,0,0,1,NA,1,NA,NA,1,1,1,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0.05335595,NA,110280,33.33333333,103.3333333,0,0,NA,0,0,0
1,1,13117,1,NA,1,5,0105,3.438902982,8656.74,0,72,1,0,0,51789.4951,NA,572,5,0,1,1.8,694.5,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,15000,15000,1,0,0,0,NA,NA,105,NA,NA,14.5,1,0,0,2,-1,1,6.333333333,8,1,1,1,0,0,0,0,0,1,NA,0,NA,0,0,0,1.369688699,NA,102865,406,1672.5,0,0,NA,0,0,0
1,1,16150,1,NA,1,5,0105,1.183308455,10490.56,0,192,1,0,0,31507.2772,NA,0,4,0,2,2.75,216,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,15000,15000,1,10,0,10,100,NA,105,NA,NA,16,1,0,NA,2,NA,1,11,6.5,NA,1,NA,0,0,0,0,0,1,10,0,NA,0,0,0,0.043712836,NA,111050,416,632,0,0,NA,0,0,0
1,1,13113,1,NA,1,5,0105,1.653569456,3643.68,0,0,2,0,0,9320.7,NA,0,4,0,2,3,45,0,NA,5.00E+05,5000,NA,1,NA,0,0,NA,0,0,0,0,23000,23000,0.652173913,0,0,0,NA,NA,105,NA,NA,18,1,8000,0,2,NA,1,9.5,8,1,1,NA,0,0,0,0,0,1,NA,1,0.5,0,0,0,0.034524653,NA,80700,0,5045,0,0,NA,0,0,0
1,2,13115,1,NA,1,5,0105,1.757689226,5646.3,0,0,4,0,0,31988.57,NA,0,2,10,NA,1,233,0,0,0,0,NA,-1,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,NA,105,NA,NA,12,1,0,0,2,0,1,NA,NA,1,0,1,0,0,0,0,0,NA,NA,0,NA,0,0,0,0.021061206,NA,3000,0,233,0,0,NA,0,0,0
1,1,16109,1,NA,1,5,0105,1.41671589,15061.1,0,0,2,0,0,100407.295,NA,0,3,0,2,0.666666667,356,0,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,2200,2200,1,0,0,0,NA,NA,105,NA,NA,6,1,0,0,2,NA,1,8,14,1,1,NA,0,0,0,0,0,0,NA,0,NA,0,0,0,0.02174465,NA,4500,40,396,0,0,NA,0,0,0
