سال ,مہینہ,بارش (ملیمیٹر),درجہ_حرارت_کم,درجہ_حرارت_زیادہ
٢٠٠٠,٨    ,١٣            ,٢٧.٩         ,٣٧.٤
٢٠٠٠,٩    ,٠             ,٢٤.٧         ,٣٦.٦
٢٠٠٠,١٠   ,٠             ,١٨.٥         ,٣٦.٤
٢٠٠٠,١١   ,٠             ,١١.٧         ,٢٨.٩
٢٠٠٠,١٢   ,١٢            ,٦.٧          ,٢٤.٣
٢٠٠١,١    ,٩.٥           ,٤.٧          ,١٧.٦
٢٠٠١,٢    ,٧             ,٨.٧          ,٢٤.٥
٢٠٠١,٣    ,٠             ,١٣.٧         ,٢٩.٩
٢٠٠١,٤    ,٤             ,٢٠.٢         ,٣٥.٥
٢٠٠١,٥    ,١             ,٢٧.٤         ,٤٢.٥
٢٠٠١,٦    ,٦٥.٥          ,٢٨.١         ,٣٩.١
٢٠٠١,٧    ,١٠٧.٥         ,٢٨.٧         ,٣٩
٢٠٠١,٨    ,٤٨            ,٢٨.٨         ,٣٦.٨
٢٠٠١,٩    ,٢٠.٥          ,٢٤.٢         ,٣٦.٤
٢٠٠١,١٠   ,٠             ,١٩.١         ,٣٥
٢٠٠١,١١   ,٠             ,١٢.٤         ,٢٩.٦
٢٠٠١,١٢   ,٢             ,٧.٨          ,٢٣
٢٠٠٢,١    ,٠             ,٤.٨          ,٢٠.٢
٢٠٠٢,٢    ,١             ,٧.٤          ,٢٣.١
٢٠٠٢,٣    ,١٢            ,١٤.٥         ,٣٠.٣
٢٠٠٢,٤    ,٨.٥           ,٢١           ,٣٧.٣
٢٠٠٢,٥    ,٥             ,٢٥           ,٤٣
٢٠٠٢,٦    ,٢٥            ,٢٩.٢         ,٤١.٧
٢٠٠٢,٧    ,١٠٤           ,٢٩.٧         ,٣٩.٣
٢٠٠٢,٨    ,٥             ,٢٨.٩         ,٣٨.٦
٢٠٠٢,٩    ,٢٠            ,٢٤.١         ,٣٥.٤
٢٠٠٢,١٠   ,١             ,١٩.٨         ,٣٤.٢
٢٠٠٢,١١   ,٩             ,١٣.٤         ,٢٨.١
٢٠٠٢,١٢   ,٣             ,٨.٣          ,٢٣.٥
٢٠٠٣,١    ,٤             ,٥.٤          ,١٨.٣
٢٠٠٣,٢    ,٦١            ,٩.٦          ,٢٢.٢
