Demanda de trabajo,249.093,248.86,248.628,248.395,248.163,247.931,247.701,247.472,247.244,247.018,246.795,246.573,246.354,246.137,245.922,245.709,245.498,245.289,245.081,244.874,244.669,244.465,244.262,244.06,243.858,243.657,243.456,243.256,243.056,242.856,242.657,242.458,242.259,242.06,241.861,241.662,241.463,241.265,241.066,240.868,240.67,240.471,240.274,240.076,239.878,239.681,239.484,239.288,239.091,238.895
Densidad poblacional,1.95792,1.95945,1.961,1.96256,1.96413,1.96571,1.96731,1.96891,1.97052,1.97213,1.97375,1.97538,1.97701,1.97865,1.98029,1.98193,1.98357,1.98522,1.98687,1.98852,1.99017,1.99182,1.99348,1.99513,1.99678,1.99844,2.00009,2.00174,2.0034,2.00505,2.0067,2.00835,2.01,2.01165,2.0133,2.01495,2.0166,2.01824,2.01989,2.02153,2.02318,2.02482,2.02646,2.0281,2.02974,2.03138,2.03301,2.03465,2.03629,2.03792
Desarrollo físico,0.27,0.27,0.27,0.27,0.270015,0.270065,0.270173,0.27036,0.270642,0.271032,0.271539,0.272165,0.27291,0.273772,0.274744,0.275818,0.276984,0.278233,0.279554,0.280934,0.282364,0.283832,0.285329,0.286846,0.288372,0.289901,0.291425,0.292938,0.294434,0.295908,0.297357,0.298776,0.300163,0.301515,0.302831,0.304109,0.305348,0.306548,0.307707,0.308827,0.309907,0.310947,0.311949,0.312912,0.313838,0.314727,0.31558,0.316399,0.317184,0.317937
Desempleo,173.713,173.48,173.248,173.015,172.783,172.551,172.321,172.092,171.864,171.638,171.415,171.193,170.974,170.757,170.542,170.329,170.118,169.909,169.701,169.494,169.289,169.085,168.882,168.68,168.478,168.277,168.076,167.876,167.676,167.476,167.277,167.078,166.879,166.68,166.481,166.282,166.083,165.885,165.686,165.488,165.29,165.091,164.894,164.696,164.498,164.301,164.104,163.908,163.711,163.515
Desnutrición crónica infantil,0.73,0.726856,0.723875,0.721052,0.718379,0.715846,0.713445,0.711168,0.709008,0.706959,0.705014,0.703167,0.701413,0.699747,0.698163,0.696658,0.695227,0.693865,0.69257,0.691338,0.690165,0.689048,0.687984,0.686971,0.686006,0.685086,0.684209,0.683373,0.682576,0.681816,0.681091,0.680399,0.679739,0.679109,0.678508,0.677933,0.677385,0.676861,0.676361,0.675883,0.675426,0.674989,0.674572,0.674173,0.673791,0.673426,0.673077,0.672743,0.672424,0.672118
Desnutrición inicial,0.73
Disponibilidad agua superficie,0.735916,0.735283,0.734651,0.734018,0.733386,0.732754,0.732122,0.731491,0.730859,0.730228,0.729597,0.728967,0.728336,0.727706,0.727076,0.726446,0.725816,0.725186,0.724557,0.723928,0.723299,0.72267,0.722042,0.721413,0.720785,0.720157,0.719529,0.718901,0.718274,0.717646,0.717019,0.716392,0.715765,0.715138,0.714511,0.713885,0.713258,0.712632,0.712006,0.71138,0.710754,0.710128,0.709502,0.708876,0.708251,0.707625,0.707,0.706374,0.705749,0.705124
Disponibilidad trabajo,75.38
Educación,2.9,2.91477,2.92927,2.94353,2.95755,2.97136,2.98497,2.99839,3.01162,3.02469,3.03758,3.05033,3.06292,3.07537,3.08768,3.09986,3.11191,3.12383,3.13564,3.14733,3.15891,3.17038,3.18174,3.193,3.20416,3.21522,3.22619,3.23705,3.24783,3.25851,3.26911,3.27961,3.29004,3.30037,3.31062,3.32079,3.33088,3.34088,3.35081,3.36066,3.37043,3.38013,3.38975,3.3993,3.40877,3.41817,3.4275,3.43675,3.44594,3.45505
Educación inicial,2.9
Educación sexual,0.4
Emigración permanente,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999991,0.999991,0.999991,0.999991,0.999991,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.999989,0.999989,0.999989,0.999989,0.999988,0.999988,0.999988,0.999988,0.999987,0.999987,0.999987,0.999987,0.999987,0.999986,0.999986,0.999986,0.999985,0.999985,0.999985,0.999985,0.999984,0.999984,0.999984,0.999983,0.999983,0.999983,0.999982
Enfermedades infantiles,0.458955,0.458955,0.459424,0.459868,0.460288,0.460687,0.461065,0.461423,0.461762,0.462084,0.46239,0.46268,0.462955,0.463217,0.463466,0.463702,0.463927,0.46414,0.464343,0.464537,0.464721,0.464896,0.465062,0.465221,0.465372,0.465516,0.465654,0.465785,0.465909,0.466028,0.466142,0.46625,0.466354,0.466452,0.466546,0.466636,0.466722,0.466804,0.466882,0.466957,0.467028,0.467096,0.467162,0.467224,0.467283,0.46734,0.467395,0.467447,0.467497,0.467545
Esperanza de vida,75
Fallecimientos[Infantes],0.115172,0.11707,0.118948,0.120804,0.122639,0.124452,0.126241,0.128007,0.129749,0.131467,0.133161,0.134829,0.136473,0.138092,0.139686,0.141255,0.142798,0.144317,0.145812,0.147281,0.148726,0.150147,0.151543,0.152916,0.154264,0.15559,0.156892,0.158171,0.159428,0.160662,0.161874,0.163065,0.164234,0.165382,0.166509,0.167616,0.168702,0.169769,0.170816,0.171844,0.172853,0.173844,0.174816,0.17577,0.176707,0.177627,0.178529,0.179415,0.180284,0.181137
Fallecimientos[Niños],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fallecimientos[Adultos],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fallecimientos[Ancianos],3.25667,3.25556,3.25445,3.25334,3.25223,3.25112,3.25002,3.24892,3.24781,3.24671,3.24561,3.24452,3.24342,3.24232,3.24123,3.24014,3.23905,3.23796,3.23687,3.23579,3.2347,3.23362,3.23254,3.23146,3.23039,3.22931,3.22824,3.22717,3.22611,3.22504,3.22398,3.22292,3.22186,3.22081,3.21976,3.21871,3.21766,3.21662,3.21558,3.21454,3.21351,3.21247,3.21145,3.21042,3.2094,3.20839,3.20737,3.20636,3.20536,3.20436
Fertilidad,0.102364,0.102742,0.103089,0.103406,0.103697,0.103962,0.104204,0.104425,0.104625,0.104808,0.104974,0.105124,0.10526,0.105383,0.105494,0.105594,0.105683,0.105764,0.105836,0.1059,0.105957,0.106008,0.106053,0.106092,0.106126,0.106156,0.106182,0.106203,0.106222,0.106237,0.106249,0.106259,0.106266,0.106271,0.106275,0.106276,0.106276,0.106274,0.106271,0.106267,0.106261,0.106255,0.106248,0.106239,0.106231,0.106221,0.106211,0.1062,0.106189,0.106177
FINAL TIME,49
Fracción adultos inicial,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333,0.533333
Fracción infantes inicial,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667,0.0666667
Fracción niños inicial,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333
Fracción tierras a hortalizas,0.4
Ganancia agrícola,3154.08,3158.51,3162.93,3167.34,3171.74,3176.13,3180.51,3184.87,3189.21,3193.55,3197.86,3202.16,3206.43,3210.69,3214.93,3219.15,3223.35,3227.53,3231.68,3235.81,3239.92,3244,3248.06,3252.09,3256.09,3260.07,3264.02,3267.94,3271.84,3275.7,3279.54,3283.34,3287.11,3290.86,3294.57,3298.25,3301.9,3305.51,3309.09,3312.64,3316.16,3319.64,3323.08,3326.49,3329.87,3333.21,3336.52,3339.79,3343.02,3346.21
Gastos en enfermedades,65.8039,65.8039,65.8442,65.8823,65.9185,65.9527,65.9852,66.0159,66.0451,66.0727,66.0989,66.1238,66.1474,66.1698,66.1911,66.2114,66.2306,66.2489,66.2663,66.2829,66.2986,66.3136,66.3279,66.3414,66.3544,66.3667,66.3785,66.3897,66.4003,66.4105,66.4202,66.4295,66.4383,66.4467,66.4548,66.4624,66.4698,66.4768,66.4834,66.4898,66.4959,66.5018,66.5073,66.5127,66.5177,66.5226,66.5273,66.5317,66.536,66.5401
Higiene,0.897
Infraestructura vial,0.11
Ingresos netos familiares,1834.7,1836.43,1838.08,1839.72,1841.33,1842.92,1844.5,1846.06,1847.6,1849.12,1850.63,1852.12,1853.6,1855.07,1856.52,1857.96,1859.39,1860.8,1862.2,1863.59,1864.97,1866.33,1867.69,1869.03,1870.36,1871.68,1872.99,1874.29,1875.58,1876.86,1878.13,1879.39,1880.63,1881.87,1883.1,1884.31,1885.52,1886.72,1887.91,1889.08,1890.25,1891.41,1892.56,1893.69,1894.82,1895.94,1897.05,1898.15,1899.24,1900.32
