Departamento,Municipio,Código_lugar,Año,Tamaño_muestra,Desntr_crón_inft
PETEN,SAN LUIS,1709,1986,834,51.8
PETEN,SANTA ANA,1707,1986,232,50
PETEN,SAYAXCHÉ,1710,1986,312,37.8
QUETZALTENANGO,ALMOLONGA,0913,1986,252,81
QUETZALTENANGO,CABRICÁN,0906,1986,333,66.7
QUETZALTENANGO,CAJOLÁ,0907,1986,96,71.9
QUETZALTENANGO,CANTEL,0914,1986,527,67.4
QUETZALTENANGO,COATEPEQUE,0920,1986,2257,47
QUETZALTENANGO,COLOMBA,0917,1986,1554,69.1
QUETZALTENANGO,CONCEPCIÓN CHIQUIRICHAPA,0911,1986,292,75.7
QUETZALTENANGO,EL PALMAR,0919,1986,584,60.3
QUETZALTENANGO,FLORES COSTA CUCA,0922,1986,418,54.3
QUETZALTENANGO,GÉNOVA,0921,1986,621,51.9
QUETZALTENANGO,HUITÁN,0915,1986,132,70.5
QUETZALTENANGO,LA ESPERANZA,0923,1986,270,70.7
QUETZALTENANGO,OLINTEPEQUE,0903,1986,507,74.6
QUETZALTENANGO,PALESTINA DE LOS ALTOS,0924,1986,211,59.2
QUETZALTENANGO,QUETZALTENANGO,0901,1986,2118,57.1
QUETZALTENANGO,SALCAJÁ,0902,1986,401,43.6
QUETZALTENANGO,SAN CARLOS SIJA,0904,1986,922,56.7
QUETZALTENANGO,SAN FRANCISCO LA UNIÓN,0918,1986,188,67.6
QUETZALTENANGO,SAN JUAN OSTUNCALCO,0909,1986,763,66.8
QUETZALTENANGO,SAN MARTÍN SACATEPÉQUEZ,0912,1986,251,78.9
QUETZALTENANGO,SAN MATEO,0910,1986,129,58.1
QUETZALTENANGO,SAN MIGUEL SIGÜILA,0908,1986,94,72.3
QUETZALTENANGO,SIBILIA,0905,1986,418,50.5
QUETZALTENANGO,ZUNIL,0916,1986,178,68.5
QUICHE,CANILLÁ,1418,1986,209,59.3
QUICHE,CHAJUL,1405,1986,167,77.8
QUICHE,CHICAMÁN,1419,1986,379,61
QUICHE,CHICHÉ,1402,1986,193,70
QUICHE,CHICHICASTENANGO,1406,1986,1583,73.1
QUICHE,CHINIQUE,1403,1986,157,68.2
QUICHE,CUNÉN,1410,1986,419,69.5
QUICHE,JOYABAJ,1412,1986,1231,64.7
QUICHE,NEBAJ,1413,1986,466,78.3
QUICHE,PACHALUM,1421,1986,,
QUICHE,PATZITÉ,1407,1986,99,70.7
QUICHE,PLAYA GRANDE-IXCÁN,1420,1986,733,59.1
QUICHE,SACAPULAS,1416,1986,465,61.7
QUICHE,SAN ANDRÉS SAJCABAJA,1414,1986,264,62.9
QUICHE,SAN ANTONIO ILOTENANGO,1408,1986,150,71.3
QUICHE,SAN BARTOLOMÉ JOCOTENANGO,1417,1986,100,71
